operation,property_type,title,description_es,price_amount,price_currency,bedrooms,bathrooms,parking,area_m2,land_m2,property_state,location_full_slug,location_name,address_text,lat,lng,contact_phone,source_external_id,source_url,image_urls
alquiler,casa,Casa en alquiler en Fernando de la Mora,A pasos de Av. Mcal. López,3200000,PYG,2,1,1,100,180,usado,central/fernando-de-la-mora,,,,,0981100217,DEMO-017,,
alquiler,departamento,Departamento en alquiler en Fernando de la Mora,Monoambiente cerca del shopping,2000000,PYG,0,1,0,35,,usado,central/fernando-de-la-mora,,,,,0981100218,DEMO-018,,
alquiler,departamento,Departamento en alquiler en Recoleta,Studio amoblado - apto ejecutivos,650,USD,0,1,0,40,,usado,asuncion/recoleta,,,,,0981100219,DEMO-019,,
venta,casa,Casa en venta en Recoleta,Casa clásica remodelada,185000,USD,4,3,2,240,350,usado,asuncion/recoleta,,,,,0981100220,DEMO-020,,
venta,casa,Casa en venta en Villa Morra,Excelente ubicación - doble garaje,220000,USD,4,3,2,280,400,usado,asuncion/villa-morra,,,,,0981100221,DEMO-021,,
venta,casa,Casa en venta en Carmelitas,A reciclar - gran potencial,95000,USD,3,2,1,180,300,usado,asuncion/carmelitas,,,,,0981100222,DEMO-022,,
venta,casa,Casa en venta en Luque,Casa a estrenar en condominio,135000,USD,3,2,2,160,220,entrega_inmediata,central/luque,,,,,0981100223,DEMO-023,,
venta,casa,Casa en venta en San Lorenzo,Ideal primera vivienda,78000,USD,3,1,1,110,200,usado,central/san-lorenzo,,,,,0981100224,DEMO-024,,
venta,casa,Casa en venta en Lambaré,Casa amplia con piscina,165000,USD,4,2,2,220,350,usado,central/lambare,,,,,0981100225,DEMO-025,,
venta,casa,Casa en venta en Fernando de la Mora,Casa en construcción - entrega 2027,110000,USD,3,2,2,150,220,en_construccion,central/fernando-de-la-mora,,,,,0981100226,DEMO-026,,
venta,casa,Casa en venta en Capiatá,Amplio terreno con casa antigua,68000,USD,2,1,1,90,400,usado,central/capiata,,,,,0981100227,DEMO-027,,
venta,casa,Casa en venta en Areguá,Casa de fin de semana cerca del lago,92000,USD,3,2,2,150,500,usado,central/aregua,,,,,0981100228,DEMO-028,,
venta,casa,Casa en venta en Caacupé,Cerca de la Basílica,72000,USD,3,1,1,120,300,usado,cordillera/caacupe,,,,,0981100229,DEMO-029,,
venta,departamento,Departamento en venta en Villa Morra,Torre nueva - entrega inmediata,138000,USD,2,2,1,75,,entrega_inmediata,asuncion/villa-morra,,,,,0981100230,DEMO-030,,
venta,departamento,Departamento en venta en Recoleta,Vista panorámica al río,165000,USD,3,2,2,95,,entrega_inmediata,asuncion/recoleta,,,,,0981100231,DEMO-031,,
venta,departamento,Departamento en venta en Las Mercedes,En pozo - entrega 2028,72000,USD,1,1,1,45,,en_pozo,asuncion/las-mercedes,,,,,0981100232,DEMO-032,,
venta,departamento,Departamento en venta en Ycuá Satí,Preventa con amenities completos,89000,USD,2,2,1,62,,en_pozo,asuncion/ycua-sati,,,,,0981100233,DEMO-033,,
venta,departamento,Departamento en venta en Mburicaó,A estrenar - últimas unidades,110000,USD,2,2,1,70,,entrega_inmediata,asuncion/mburicao,,,,,0981100234,DEMO-034,,
venta,terreno,Terreno en venta en Luque,Terreno urbanizado con servicios,45000,USD,,,,,600,usado,central/luque,,,,,0981100235,DEMO-035,,
venta,terreno,Terreno en venta en Capiatá,Ideal para inversión,28000,USD,,,,,450,usado,central/capiata,,,,,0981100236,DEMO-036,,
venta,terreno,Terreno en venta en San Lorenzo,Sobre calle asfaltada,38000,USD,,,,,500,usado,central/san-lorenzo,,,,,0981100237,DEMO-037,,
venta,terreno,Terreno en venta en Areguá,Con vista al lago Ypacaraí,55000,USD,,,,,800,usado,central/aregua,,,,,0981100238,DEMO-038,,
venta,terreno,Terreno en venta en Ñemby,Loteamiento con documentación al día,22000,USD,,,,,350,usado,central/nemby,,,,,0981100239,DEMO-039,,
venta,terreno,Terreno en venta en Itauguá,Zona residencial en crecimiento,26000,USD,,,,,400,usado,central/itaugua,,,,,0981100240,DEMO-040,,
alquiler,oficina,Oficina en alquiler en Villa Morra,Oficina equipada en torre corporativa,6800000,PYG,,2,2,90,,usado,asuncion/villa-morra,,,,,0981100241,DEMO-041,,
alquiler,oficina,Oficina en alquiler en Recoleta,Piso completo con recepción,8200000,PYG,,2,3,150,,usado,asuncion/recoleta,,,,,0981100242,DEMO-042,,
alquiler,comercial,Local comercial en alquiler en Villa Morra,Sobre avenida con alto tránsito,7500000,PYG,,2,0,110,,usado,asuncion/villa-morra,,,,,0981100243,DEMO-043,,
venta,comercial,Local comercial en venta en San Lorenzo,Esquina sobre Ruta 2,98000,USD,,1,2,140,200,usado,central/san-lorenzo,,,,,0981100244,DEMO-044,,
venta,duplex,Dúplex en venta en Lambaré,Dos plantas con terraza propia,105000,USD,3,2,2,140,180,usado,central/lambare,,,,,0981100245,DEMO-045,,
venta,duplex,Dúplex en venta en Luque,A estrenar en condominio cerrado,128000,USD,3,3,2,165,200,entrega_inmediata,central/luque,,,,,0981100246,DEMO-046,,
venta,quinta,Quinta en venta en Areguá,Quinta con pileta y quincho,145000,USD,3,2,3,180,3000,usado,central/aregua,,,,,0981100247,DEMO-047,,
venta,quinta,Quinta en venta en Ypacaraí,Cerca del lago - ideal descanso,98000,USD,2,1,2,110,2500,usado,paraguari/ypacarai,,,,,0981100248,DEMO-048,,
alquiler_temporal,departamento,Departamento en alquiler temporal en Ypacaraí,Frente al lago - apto vacacional,80,USD,2,1,1,60,,usado,paraguari/ypacarai,,,,,0981100249,DEMO-049,,
alquiler,departamento,Departamento en alquiler en Villa Morra,Piso alto con balcón terraza,5100000,PYG,3,2,2,95,,usado,asuncion/villa-morra,,,,,0981100250,DEMO-050,,
