operation,property_type,title,description_es,price_amount,price_currency,bedrooms,bathrooms,parking,area_m2,land_m2,property_state,location_full_slug,location_name,address_text,lat,lng,contact_phone,source_external_id,source_url,image_urls
venta,casa,Residencia amplia en Carmelitas,"Excelente propiedad en Carmelitas. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",298000,USD,4,3,2,320,380,usado,asuncion/carmelitas,,,,,0985 200 100,DEMO-018,,https://picsum.photos/seed/p18a/800/600|https://picsum.photos/seed/p18b/800/600|https://picsum.photos/seed/p18c/800/600
venta,departamento,Departamento amoblado en Carmelitas,Departamento en Carmelitas con excelente conectividad. Ideal para vivir o invertir.,175000,USD,3,3,1,120,,entrega_inmediata,asuncion/carmelitas,,,,,0982 640 330,DEMO-019,,https://picsum.photos/seed/p19a/800/600|https://picsum.photos/seed/p19b/800/600|https://picsum.photos/seed/p19c/800/600
venta,casa,Casa con patio en Mburicaó,"Excelente propiedad en Mburicaó. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",132000,USD,3,2,2,180,250,usado,asuncion/mburicao,,,,,0991 480 220,DEMO-020,,https://picsum.photos/seed/p20a/800/600|https://picsum.photos/seed/p20b/800/600|https://picsum.photos/seed/p20c/800/600
venta,departamento,Departamento a estrenar en Sajonia,Departamento en Sajonia con excelente conectividad. Ideal para vivir o invertir.,72000,USD,1,1,1,48,,usado,asuncion/sajonia,,,,,0983 770 110,DEMO-021,,https://picsum.photos/seed/p21a/800/600|https://picsum.photos/seed/p21b/800/600|https://picsum.photos/seed/p21c/800/600
venta,casa,Casa a estrenar en Trinidad,"Excelente propiedad en Trinidad. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",148000,USD,3,2,2,190,260,usado,asuncion/trinidad,,,,,0975 330 990,DEMO-022,,https://picsum.photos/seed/p22a/800/600|https://picsum.photos/seed/p22b/800/600|https://picsum.photos/seed/p22c/800/600
venta,casa,Casa con piscina en San Lorenzo,"Excelente propiedad en San Lorenzo. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",89000,USD,3,2,2,150,220,usado,central/san-lorenzo,,,,,0961 220 440,DEMO-023,,https://picsum.photos/seed/p23a/800/600|https://picsum.photos/seed/p23b/800/600|https://picsum.photos/seed/p23c/800/600
venta,departamento,Departamento amoblado en San Lorenzo,Departamento en San Lorenzo con excelente conectividad. Ideal para vivir o invertir.,63000,USD,2,2,1,60,,usado,central/san-lorenzo,,,,,0981 123 456,DEMO-024,,https://picsum.photos/seed/p24a/800/600|https://picsum.photos/seed/p24b/800/600|https://picsum.photos/seed/p24c/800/600
venta,casa,Casa moderna en Fernando de la Mora,"Excelente propiedad en Fernando de la Mora. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",112000,USD,3,2,2,170,240,usado,central/fernando-de-la-mora,,,,,0971 555 777,DEMO-025,,https://picsum.photos/seed/p25a/800/600|https://picsum.photos/seed/p25b/800/600|https://picsum.photos/seed/p25c/800/600
venta,casa,Casa con patio en Lambaré,"Excelente propiedad en Lambaré. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",134000,USD,3,2,2,185,250,usado,central/lambare,,,,,0985 200 100,DEMO-026,,https://picsum.photos/seed/p26a/800/600|https://picsum.photos/seed/p26b/800/600|https://picsum.photos/seed/p26c/800/600
venta,departamento,Departamento con balcón en Lambaré,Departamento en Lambaré con excelente conectividad. Ideal para vivir o invertir.,78000,USD,2,2,1,58,,usado,central/lambare,,,,,0982 640 330,DEMO-027,,https://picsum.photos/seed/p27a/800/600|https://picsum.photos/seed/p27b/800/600|https://picsum.photos/seed/p27c/800/600
venta,casa,Casa a estrenar en Capiatá,"Excelente propiedad en Capiatá. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",68000,USD,2,1,2,110,300,usado,central/capiata,,,,,0991 480 220,DEMO-028,,https://picsum.photos/seed/p28a/800/600|https://picsum.photos/seed/p28b/800/600|https://picsum.photos/seed/p28c/800/600
venta,terreno,Terreno en Capiatá,"Lote en Capiatá, zona en crecimiento. Ideal para construir o invertir.",35000,USD,,,,,400,usado,central/capiata,,,,,0983 770 110,DEMO-029,,https://picsum.photos/seed/p29a/800/600|https://picsum.photos/seed/p29b/800/600|https://picsum.photos/seed/p29c/800/600
venta,casa,Residencia amplia en Ñemby,"Excelente propiedad en Ñemby. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",74000,USD,3,2,2,140,280,usado,central/nemby,,,,,0975 330 990,DEMO-030,,https://picsum.photos/seed/p30a/800/600|https://picsum.photos/seed/p30b/800/600|https://picsum.photos/seed/p30c/800/600
venta,casa,Casa moderna en Villa Elisa,"Excelente propiedad en Villa Elisa. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",119000,USD,3,2,2,175,260,usado,central/villa-elisa,,,,,0961 220 440,DEMO-031,,https://picsum.photos/seed/p31a/800/600|https://picsum.photos/seed/p31b/800/600|https://picsum.photos/seed/p31c/800/600
venta,departamento,Departamento con balcón en Ciudad del Este,Departamento en Ciudad del Este con excelente conectividad. Ideal para vivir o invertir.,95000,USD,2,2,1,80,,entrega_inmediata,alto-parana/ciudad-del-este,,,,,0981 123 456,DEMO-032,,https://picsum.photos/seed/p32a/800/600|https://picsum.photos/seed/p32b/800/600|https://picsum.photos/seed/p32c/800/600
venta,casa,Casa familiar en Ciudad del Este,"Excelente propiedad en Ciudad del Este. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",165000,USD,4,3,2,240,320,usado,alto-parana/ciudad-del-este,,,,,0971 555 777,DEMO-033,,https://picsum.photos/seed/p33a/800/600|https://picsum.photos/seed/p33b/800/600|https://picsum.photos/seed/p33c/800/600
venta,departamento,Departamento amoblado en Encarnación,Departamento en Encarnación con excelente conectividad. Ideal para vivir o invertir.,82000,USD,2,2,1,70,,entrega_inmediata,itapua/encarnacion,,,,,0985 200 100,DEMO-034,,https://picsum.photos/seed/p34a/800/600|https://picsum.photos/seed/p34b/800/600|https://picsum.photos/seed/p34c/800/600
venta,casa,Casa con piscina en Encarnación,"Excelente propiedad en Encarnación. Muy bien ubicada, lista para habitar. Consultá disponibilidad y financiación.",143000,USD,3,2,2,200,300,usado,itapua/encarnacion,,,,,0982 640 330,DEMO-035,,https://picsum.photos/seed/p35a/800/600|https://picsum.photos/seed/p35b/800/600|https://picsum.photos/seed/p35c/800/600
alquiler,departamento,Departamento en alquiler en Recoleta,Alquiler en Recoleta. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,4500000,PYG,2,1,1,80,,usado,asuncion/recoleta,,,,,0991 480 220,DEMO-036,,https://picsum.photos/seed/p36a/800/600|https://picsum.photos/seed/p36b/800/600|https://picsum.photos/seed/p36c/800/600
alquiler,departamento,Departamento en alquiler en Villa Morra,Alquiler en Villa Morra. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,3800000,PYG,1,1,1,55,,usado,asuncion/villa-morra,,,,,0983 770 110,DEMO-037,,https://picsum.photos/seed/p37a/800/600|https://picsum.photos/seed/p37b/800/600|https://picsum.photos/seed/p37c/800/600
alquiler,departamento,Departamento en alquiler en Las Mercedes,Alquiler en Las Mercedes. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,5200000,PYG,3,1,1,110,,usado,asuncion/las-mercedes,,,,,0975 330 990,DEMO-038,,https://picsum.photos/seed/p38a/800/600|https://picsum.photos/seed/p38b/800/600|https://picsum.photos/seed/p38c/800/600
alquiler,departamento,Departamento en alquiler en Carmelitas,Alquiler en Carmelitas. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,6000000,PYG,3,1,1,120,,usado,asuncion/carmelitas,,,,,0961 220 440,DEMO-039,,https://picsum.photos/seed/p39a/800/600|https://picsum.photos/seed/p39b/800/600|https://picsum.photos/seed/p39c/800/600
alquiler,departamento,Departamento en alquiler en Luque,Alquiler en Luque. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,2600000,PYG,2,1,1,70,,usado,central/luque,,,,,0981 123 456,DEMO-040,,https://picsum.photos/seed/p40a/800/600|https://picsum.photos/seed/p40b/800/600|https://picsum.photos/seed/p40c/800/600
alquiler,departamento,Departamento en alquiler en San Lorenzo,Alquiler en San Lorenzo. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,2200000,PYG,2,1,1,65,,usado,central/san-lorenzo,,,,,0971 555 777,DEMO-041,,https://picsum.photos/seed/p41a/800/600|https://picsum.photos/seed/p41b/800/600|https://picsum.photos/seed/p41c/800/600
alquiler,departamento,Departamento en alquiler en Sajonia,Alquiler en Sajonia. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,2800000,PYG,1,1,1,50,,usado,asuncion/sajonia,,,,,0985 200 100,DEMO-042,,https://picsum.photos/seed/p42a/800/600|https://picsum.photos/seed/p42b/800/600|https://picsum.photos/seed/p42c/800/600
alquiler,departamento,Departamento en alquiler en Lambaré,Alquiler en Lambaré. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,3100000,PYG,2,1,1,72,,usado,central/lambare,,,,,0982 640 330,DEMO-043,,https://picsum.photos/seed/p43a/800/600|https://picsum.photos/seed/p43b/800/600|https://picsum.photos/seed/p43c/800/600
alquiler,departamento,Departamento en alquiler en Recoleta,Alquiler en Recoleta. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,750,USD,1,1,1,48,,usado,asuncion/recoleta,,,,,0991 480 220,DEMO-044,,https://picsum.photos/seed/p44a/800/600|https://picsum.photos/seed/p44b/800/600|https://picsum.photos/seed/p44c/800/600
alquiler,departamento,Departamento en alquiler en Villa Morra,Alquiler en Villa Morra. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,900,USD,2,1,1,68,,usado,asuncion/villa-morra,,,,,0983 770 110,DEMO-045,,https://picsum.photos/seed/p45a/800/600|https://picsum.photos/seed/p45b/800/600|https://picsum.photos/seed/p45c/800/600
alquiler,departamento,Departamento en alquiler en Fernando de la Mora,Alquiler en Fernando de la Mora. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,2400000,PYG,2,1,1,60,,usado,central/fernando-de-la-mora,,,,,0975 330 990,DEMO-046,,https://picsum.photos/seed/p46a/800/600|https://picsum.photos/seed/p46b/800/600|https://picsum.photos/seed/p46c/800/600
alquiler,departamento,Departamento en alquiler en Trinidad,Alquiler en Trinidad. Tu próximo lugar te espera. Consultá requisitos y disponibilidad.,2900000,PYG,2,1,1,75,,usado,asuncion/trinidad,,,,,0961 220 440,DEMO-047,,https://picsum.photos/seed/p47a/800/600|https://picsum.photos/seed/p47b/800/600|https://picsum.photos/seed/p47c/800/600
